,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
50,Court Theatre Training Company Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
51,Coventry University,4695,4225,0.36,88.1,180,3.8,3.1,290,6.1,8.8,0.36,2.4,96.8,England,2014-15,Coventry,Moderate
52,Cranfield University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Bedfordshire,Low
53,University for the Creative Arts,1410,1240,0.72,88.4,45,3.2,2.3,125,8.9,9.2,0.72,3.5,120,England,2014-15,Kent,Moderate
54,University of Cumbria,1785,1550,0.68,88.5,30,1.6,2.3,205,11.5,9.3,0.68,1.8,94.1,England,2014-15,Carlisle,High
55,De Montfort University,4455,3925,0.4,88,160,3.6,3,375,8.4,9.1,0.4,2.4,96.9,England,2014-15,Leicester,Moderate
56,University of Derby,3475,3110,0.44,87,60,1.8,3,305,8.8,10.1,0.44,6.1,89.9,England,2014-15,Derby,Moderate
57,University of Durham,3435,3295,0.37,95.2,40,1.2,1.6,100,3,3.1,0.37,6,66.6,England,2014-15,Durham,Low
58,The University of East Anglia,2460,2265,0.5,92.1,40,1.6,2.1,155,6.2,5.8,0.5,1.5,87.2,England,2014-15,Norwich,Moderate
59,The University of East London,3540,2980,0.49,85.7,120,3.4,2.9,440,12.4,11.4,0.49,3,95.5,England,2014-15,London,High
60,The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Birmingham,Low
61,Edge Hill University,3525,3220,0.44,88,30,0.9,2.7,275,7.8,9.3,0.44,2.3,95.8,England,2014-15,Ormskirk,Moderate
62,Empire College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
63,The University of Essex,2480,2245,0.5,89.7,70,2.9,2.6,165,6.6,7.7,0.5,1.6,97.8,England,2014-15,Colchester,Moderate
64,East End Computing and Business College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
65,University College of Estate Management,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Oxford,Low
66,EThames Graduate School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
67,The University of Exeter,4420,4230,0.32,94.2,75,1.7,2,115,2.6,3.8,0.32,5.1,78.1,England,2014-15,Exeter,Low
68,Falmouth University,1495,1315,0.69,89.3,50,3.3,2.4,130,8.8,8.2,0.69,2.3,110.9,England,2014-15,Cornwall,Moderate
69,Fairfield School of Business Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
70,Met Film School Limited,35,30,3.78,88.4,0,3,2,0,3,9.6,3.78,1.1,90.3,England,2014-15,London,Low
71,The National Film and Television School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
72,ForMission Ltd,55,45,3.65,83.1,0,0,1.4,10,14.5,15.5,3.65,16.2,54.5,England,2014-15,London,High
73,Futureworks,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
74,University of Gloucestershire,2040,1865,0.57,87.9,25,1.3,2.6,145,7.2,9.5,0.57,1.2,100.6,England,2014-15,Cheltenham,Moderate
75,Goldsmiths College,1545,1325,0.7,89.4,65,4.1,2.5,155,10.1,8.1,0.7,1.6,94,England,2014-15,London,High
76,Grafton College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
77,The University of Greenwich,4265,3710,0.42,87.5,155,3.6,2.7,400,9.4,9.8,0.42,2.4,94.1,England,2014-15,Greenwich,Moderate
78,GSM London,2290,1595,0.66,76.5,100,4.3,3.6,595,25.9,19.9,0.66,22.4,82,England,2014-15,London,High
79,Guildhall School of Music and Drama,140,135,1.9,91.4,5,2.8,2.1,5,3.5,6.5,1.9,0.7,119.7,England,2014-15,London,Low
80,Harper Adams University,445,410,1.12,90.8,5,1.1,1.8,30,7,7.3,1.12,14.9,38.4,England,2014-15,Newport,Moderate
81,University of Hertfordshire,4815,4375,0.35,88.5,155,3.2,2.9,290,6,8.6,0.35,3.5,94.5,England,2014-15,Hatfield,Moderate
82,Heythrop College,110,95,2.6,90.3,5,6.3,2.2,10,10.7,7.5,2.6,2.1,73.5,England,2014-15,London,High
83,The University of Huddersfield,3930,3370,0.45,87.7,135,3.4,3,425,10.8,9.3,0.45,1.8,99.1,England,2014-15,Huddersfield,High
84,The University of Hull,3390,3045,0.45,89.3,75,2.2,2.6,270,8,8.1,0.45,2.2,91,England,2014-15,Hull,Moderate
85,ICON College of Technology and Management,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Birmingham,Low
86,"Imperial College of Science, Technology and Medicine",1330,1265,0.6,96.7,25,1.7,1.2,45,3.4,2.1,0.6,8.2,45.9,England,2014-15,London,Low
87,Institute of Contemporary Music Performance,185,155,2.21,88.1,5,3.2,2,25,14.1,9.9,2.21,0.8,118,England,2014-15,London,High
88,The Islamic College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
89,Kaplan Open Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
90,Keele University,1880,1765,0.54,91.8,30,1.7,2.3,85,4.4,5.9,0.54,1.5,89.6,England,2014-15,Keele,Low
91,Kensington College of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
92,The University of Kent,3885,3635,0.37,90.4,85,2.2,2.8,165,4.2,6.8,0.37,2.4,96.3,England,2014-15,Medway,Low
93,King's College London,3330,3125,0.39,94.1,85,2.5,1.7,125,3.8,4.2,0.39,4.7,71,England,2014-15,London,Low
94,KLC School of Design,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
95,Kingston University,4910,4195,0.38,86.9,280,5.7,3.2,440,8.9,9.9,0.38,4.1,89.2,England,2014-15,Kingston upon Thames,Moderate
96,Kogan Academy of Dramatic Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
97,The University of Lancaster,2090,1890,0.55,92.9,45,2.2,2.3,150,7.2,4.9,0.55,1.8,86.9,England,2014-15,Lancaster,Moderate
98,Leeds College of Art,405,375,1.24,90.3,10,2,2.2,25,6.1,7.5,1.24,1.7,124.4,England,2014-15,Leeds,Moderate
99,Leeds Beckett University,6385,5405,0.36,87.2,210,3.3,3.2,775,12.1,9.7,0.36,3.8,98.1,England,2014-15,Leeds,High
100,The University of Leeds,5945,5525,0.3,93.6,165,2.8,2,250,4.2,4.3,0.3,4.6,81.5,England,2014-15,Leeds,Low
101,Leeds Trinity University,945,840,0.88,88.7,20,2.2,2.6,85,9.2,8.8,0.88,1.6,86.4,England,2014-15,Leeds,Moderate
