,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
1007,University of Hertfordshire,4505,3930,0.41,86.4,165,3.7,3.7,410,9.1,9.9,0.41,2.7,100.1,England,2018-19,Hertfordshire,Moderate
1008,The University of Huddersfield,3310,2890,0.48,87.2,105,3.2,3.4,315,9.5,9.3,0.48,1.4,106.4,England,2018-19,West Yorkshire,Moderate
1009,The University of Hull,2915,2625,0.5,87.8,45,1.5,3.1,245,8.4,9.1,0.5,1.5,97.8,England,2018-19,Yorkshire,Moderate
1010,ICON College of Technology and Management,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1011,"Imperial College of Science, Technology and Medicine",1320,1275,0.58,97.1,15,1.3,1.2,30,2.3,1.8,0.58,10,47.3,England,2018-19,London,Low
1012,London College of International Business Studies Ltd,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1013,Institute of Art - London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1014,The Institute of Ismaili Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1015,Institute of Contemporary Music Performance,195,155,2.34,85.8,5,2.6,2.5,35,17.9,11.6,2.34,1.8,111.1,England,2018-19,London,High
1016,The Islamic College,10,5,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1017,Kaplan Open Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1018,Keele University,2385,2175,0.51,89.4,85,3.5,3.2,125,5.3,7.4,0.51,1.5,95.4,England,2018-19,Staffordshire,Moderate
1019,Kensington College of Business,65,40,4.54,79.7,5,9.1,3.9,20,27.3,16.3,4.54,0.7,118.6,England,2018-19,London,High
1020,The University of Kent,3875,3540,0.4,90.1,120,3,3.1,220,5.7,6.8,0.4,2.3,102.3,England,2018-19,Kent,Moderate
1021,King's College London,3300,3015,0.43,93.1,90,2.7,2.1,195,5.9,4.9,0.43,3.8,75.9,England,2018-19,London,Moderate
1022,KLC School of Design,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1023,Kingston University,3560,3140,0.45,86.1,110,3.1,3.7,310,8.7,10.1,0.45,2.4,100.4,England,2018-19,Kingston,Moderate
1024,LAMDA Limited,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1025,The University of Lancaster,2520,2375,0.47,92.5,45,1.7,2.6,100,4,4.9,0.47,2.1,87.5,England,2018-19,Lancashire,Low
1026,LCCM AU UK Limited,80,65,3.39,82.2,5,3.8,3.2,10,15.4,14.6,3.39,0.9,103.6,England,2018-19,Birmingham,High
1027,Leeds Arts University,665,630,0.9,90.4,10,1.8,2.7,25,3.6,6.9,0.9,2.3,132,England,2018-19,Leeds,Low
1028,Leeds Beckett University,5710,4920,0.37,86.9,205,3.6,3.6,585,10.3,9.5,0.37,2.8,105,England,2018-19,Leeds,High
1029,Le Cordon Bleu Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1030,Leeds Conservatoire,400,340,1.5,88,5,1.7,2.7,50,13,9.3,1.5,1.1,127,England,2018-19,Leeds,High
1031,The University of Leeds,6550,6075,0.28,93.5,235,3.6,2.3,240,3.7,4.2,0.28,5,82.5,England,2018-19,West Yorkshire,Low
1032,Leeds Trinity University,1025,885,0.89,86.2,30,2.9,3.4,115,11,10.3,0.89,1.1,97.6,England,2018-19,Leeds,High
1033,The University of Leicester,2795,2590,0.44,91.8,100,3.6,2.7,105,3.8,5.5,0.44,2.1,93.4,England,2018-19,Leicestershire,Low
1034,The University of Lincoln,4210,3870,0.39,89.1,85,2,3.1,255,6.1,7.8,0.39,2.1,102.4,England,2018-19,Lincolnshire,Moderate
1035,Liverpool Hope University,1325,1150,0.77,87.9,35,2.8,3.2,140,10.4,9,0.77,1.1,100.4,England,2018-19,Merseyside,High
1036,Liverpool John Moores University,5930,5245,0.35,87.9,205,3.5,3.3,480,8.1,8.7,0.35,2.7,100.7,England,2018-19,Merseyside,Moderate
1037,The Liverpool Institute for Performing Arts,220,195,1.82,88.2,5,3.2,2.9,20,8.1,8.9,1.82,0.8,124,England,2018-19,Liverpool,Moderate
1038,The University of Liverpool,4930,4580,0.34,92.6,130,2.6,2.5,215,4.4,4.9,0.34,3.7,87.3,England,2018-19,Merseyside,Low
1039,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Liverpool,Low
1040,"University of the Arts, London",2520,2250,0.52,89.2,85,3.3,2.7,190,7.5,8.1,0.52,5.4,117.4,England,2018-19,London,Moderate
1041,London Bridge Business Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1042,London Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1043,London Churchill College Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1044,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1045,City and Guilds of London Art School,25,20,5.15,84.7,0,4,2.7,0,8,12.6,5.15,1.1,95.9,England,2018-19,London,Moderate
1046,London School of Commerce & IT Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1047,London Film School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1048,The London College UCK,250,185,2.22,79.1,5,2.8,3.6,55,22.7,17.3,2.22,3.1,112.8,England,2018-19,London,High
1049,London Metropolitan University,2365,1630,0.71,83.2,200,8.5,3.4,535,22.6,13.5,0.71,2.8,94.4,England,2018-19,London,High
1050,London School of Academics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1051,London South Bank University,3155,2605,0.53,85.5,155,4.9,3.4,395,12.5,11.1,0.53,1.9,101.8,England,2018-19,London,High
1052,London School of Economics and Political Science,760,730,0.8,95.6,10,1.3,1.8,20,2.6,2.6,0.8,4,70,England,2018-19,London,Low
1053,London School of Hygiene and Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1054,London School of Management Education,115,105,2.33,84,0,0.9,2.7,5,6.1,13.3,2.33,16.4,72.9,England,2018-19,London,Moderate
1055,London School of Theology,45,40,4.31,85,0,2.1,2.6,5,14.9,12.4,4.31,6.2,60.4,England,2018-19,London,High
1056,London Studio Centre,85,80,2.58,89.6,0,2.3,2.6,5,4.6,7.8,2.58,0.3,136.6,England,2018-19,London,Low
1057,The London School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1058,The London Institute of Banking & Finance,90,75,2.93,86.7,5,4.5,3.7,10,10.1,9.7,2.93,0.4,119.9,England,2018-19,London,High
1059,The Film Education Training Trust Limited,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1060,Loughborough University,3550,3375,0.37,93,75,2.1,2.5,95,2.7,4.5,0.37,4,92.3,England,2018-19,Leicestershire,Low
1061,Luther King House Educational Trust,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1062,The Manchester Metropolitan University,7545,6730,0.3,88.3,240,3.2,3.3,580,7.7,8.5,0.3,3.5,105.7,England,2018-19,Manchester,Moderate
1063,The University of Manchester,5230,4855,0.32,93.7,165,3.1,2.2,210,4,4.1,0.32,4,80.4,England,2018-19, Manchester,Low
1064,Istituto Marangoni Limited,25,20,5.96,85.6,0,4.3,3.4,5,13,10.9,5.96,0.3,111.1,England,2018-19,London,High
1065,The Markfield Institute of Higher Education,35,25,6.36,86.5,0,0,1.1,10,27.3,12.4,6.36,5.6,86.7,England,2018-19,Leicestershire,High
1066,Matrix College of Counselling and Psychotherapy Ltd,35,30,4.6,89.2,0,0,1.2,5,8.6,9.6,4.6,2.1,82.8,England,2018-19,London,Moderate
1067,Mattersey Hall,15,10,0,0,0,0,0,5,0,0,0,0,0,England,2018-19,West Yorkshire,Low
1068,St Mellitus College,90,85,2.47,87.4,0,0,1.9,5,5.7,10.6,2.47,11,51.7,England,2018-19,London,Moderate
1069,The Metanoia Institute,50,40,4.17,89.3,0,0,1.5,5,12.5,9.2,4.17,0.8,91.3,England,2018-19,London,High
1070,Middlesex University,3775,3120,0.47,85.6,210,5.6,3.5,445,11.8,10.9,0.47,2,105.1,England,2018-19,Greater London,High
1071,Millennium Performing Arts Ltd,20,15,0,0,5,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1072,The Minster Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,York,Low
1073,Mountview Academy of Theatre Arts,90,90,2.24,89,0,0,2.7,0,1.1,8.3,2.24,0.7,119.6,England,2018-19,London,Low
1074,Mont Rose College of Management and Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1075,Moorlands College,55,50,3.29,83.6,0,0,2.7,5,8.8,13.7,3.29,2.2,65.9,England,2018-19,Bedfordshire,Moderate
1076,All Nations Christian College,5,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Lancashire,Low
1077,Nazarene Theological College,25,20,5.36,82.9,0,3.8,2,5,11.5,15.1,5.36,2.6,59.6,England,2018-19,Greater Manchester,High
1078,Nelson College London Ltd,135,90,3.24,78.3,10,6,3.4,35,26.3,18.4,3.24,2.1,136.9,England,2018-19,London,High
1079,Newbold College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Bath,Low
1080,Newcastle University,5300,4980,0.31,93.3,125,2.3,2.4,195,3.7,4.3,0.31,4.7,81.1,England,2018-19,North East England,Low
1081,New College of the Humanities,35,30,4.37,92.5,0,2.9,2.3,5,11.8,5.2,4.37,0.7,71,England,2018-19,London,High
1082,Newman University,675,560,1.14,86.3,30,4.3,3.1,85,12.9,10.6,1.14,1,94.9,England,2018-19,West Midlands,High
1083,St Nicholas Montessori Training Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1084,Norland College,95,90,2.56,91.4,0,1.1,1.7,5,6.3,6.8,2.56,1,79.7,England,2018-19,North West England,Moderate
1085,The University of Northampton,3115,2615,0.52,85.3,140,4.6,3.5,360,11.6,11.2,0.52,1.9,108.2,England,2018-19,East Midlands,High
1086,Northern College of Acupuncture,40,35,4.36,88.1,0,5.3,2.3,5,7.9,9.6,4.36,0.6,86.7,England,2018-19,North East England,Moderate
1087,University of Northumbria at Newcastle,5440,4825,0.37,87.8,130,2.4,3.3,485,8.9,8.9,0.37,2.4,103.9,England,2018-19,North East England,Moderate
1088,Norwich University of the Arts,770,685,1.01,88.8,10,1.2,2.8,75,10,8.4,1.01,1.9,125.1,England,2018-19,East of England,High
1089,University of Nottingham,6535,6115,0.29,93.4,160,2.5,2.4,260,4,4.3,0.29,4.4,80.6,England,2018-19,East Midlands,Low
1090,The Nottingham Trent University,7800,7190,0.28,89,165,2.1,3.2,440,5.7,7.8,0.28,3.8,104.5,England,2018-19,East Midlands,Moderate
1091,Oak Hill College,25,25,4.33,88.6,0,0,1.7,0,3.7,9.7,4.33,7.9,39.5,England,2018-19,South East England,Low
1092,The Open University in England,270,260,1.43,88.2,0,0,2,10,4.1,9.8,1.43,4.3,93.2,England,2018-19,South East England,Low
1093,ICOM,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1094,Oxford Brookes University,3290,3020,0.44,89.5,70,2.1,3,200,6.1,7.5,0.44,2.2,96.9,England,2018-19,South East England,Moderate
1095,Oxford Business College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Oxford,Low
1096,The University of Oxford,2575,2530,0.4,96.3,10,0.3,1.5,30,1.2,2.2,0.4,8.9,60.6,England,2018-19,South East England,Low
1097,St Patrick's International College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1098,Pearson College,410,360,1.33,85.2,15,3.2,4,35,8.1,10.8,1.33,1,105.9,England,2018-19,Surrey,Moderate
1099,Plymouth College of Art,415,350,1.36,87.9,25,6.2,2.8,40,9.4,9.4,1.36,1.6,126.4,England,2018-19,South West England,Moderate
1100,University of Plymouth,4245,3835,0.41,88.4,85,2,3.1,325,7.7,8.5,0.41,2.1,95.6,England,2018-19,South West England,Moderate
1101,Point Blank Music School,130,110,2.62,85.4,5,2.3,2.6,15,12.9,12,2.62,1,109.5,England,2018-19,London,High
1102,The University of Portsmouth,5325,4790,0.36,87.6,140,2.6,3.6,400,7.5,8.8,0.36,2.6,101.3,England,2018-19,South East England,Moderate
1103,The Prince's Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,South East England,Low
1104,Queen Mary University of London,3705,3335,0.4,92,190,5.1,2.7,185,5,5.3,0.4,3,85.8,England,2018-19,London,Low
1105,University Centre Quayside Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Tyne and Wear,Low
1106,Royal Academy of Dramatic Art,40,40,3.19,88.1,0,0,2,0,0,9.9,3.19,0.7,114.4,England,2018-19,London,Low
1107,Royal Academy of Dance,25,25,4.06,91.8,0,0,2.2,0,0,6,4.06,0.2,105.3,England,2018-19,London,Low
1108,Ravensbourne University London,760,660,1.02,87.5,20,2.8,3.2,75,10,9.3,1.02,1.5,115,England,2018-19,London,High
1109,"Richmond, The American International University in London",80,60,3.25,81.6,5,8.6,5,15,16,13.4,3.25,0.4,99.1,England,2018-19,London,High
1110,The University of Reading,3185,2845,0.45,91.4,135,4.2,2.8,200,6.3,5.8,0.45,2.9,93.3,England,2018-19,South East England,Moderate
1111,Regent's University London,75,60,3.39,85,5,5.3,3.7,10,15.8,11.2,3.39,0.3,105.4,England,2018-19,London,High
1112,Regents Theological College,45,35,4.9,84.6,0,2.3,2.7,10,20.9,12.7,4.9,1.8,65.2,England,2018-19,London,High
1113,Regent College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1114,Roehampton University,3230,2745,0.48,84,140,4.3,3.8,350,10.8,12.2,0.48,12.2,107.8,England,2018-19,South West England,High
1115,Rose Bruford College of Theatre and Performance,165,155,1.92,88.2,0,1.2,2.8,10,5.4,9,1.92,0.6,124.2,England,2018-19,London,Moderate
1116,Royal Academy of Music,70,70,2.48,91.1,0,0,2.6,0,1.4,6.3,2.48,0.5,123.6,England,2018-19,London,Low
1117,Royal Agricultural University,280,255,1.54,89.1,5,1.8,1.7,25,8.2,9.2,1.54,6.3,49.1,England,2018-19,South East England,Moderate
1118,Royal College of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1119,Royal College of Music,65,65,2.69,91.4,0,1.5,2.4,0,3,6.2,2.69,0.4,126.4,England,2018-19,London,Low
1120,The Royal Central School of Speech and Drama,185,175,1.75,89.6,0,0,2.5,10,4.3,8,1.75,0.7,124,England,2018-19,London,Low
1121,Royal Holloway and Bedford New College,2275,2055,0.51,91.6,95,4.2,2.8,125,5.5,5.6,0.51,1.7,100.2,England,2018-19,South East England,Moderate
1122,Royal Northern College of Music,130,125,1.81,90.7,5,3.8,2.7,0,0.8,6.6,1.81,0.5,128.7,England,2018-19,North West England,Low
1123,The Royal Veterinary College,325,310,1.22,94.8,5,1.2,1.8,10,3.1,3.4,1.22,5.9,39.9,England,2018-19,London,Low
1124,SAE Education Limited,300,235,1.87,82.1,10,2.7,3.9,60,19.3,14.1,1.87,3.3,80,England,2018-19,London,High
1125,"St George's, University of London",795,740,0.85,93.4,20,2.4,1.9,40,4.8,4.7,0.85,2.6,78.1,England,2018-19,South East England,Low
1126,"St Mary's University, Twickenham",1005,845,0.9,86.2,45,4.4,3.4,115,11.3,10.4,0.9,0.9,102.6,England,2018-19,South West England,High
1127,The University of Salford,5295,4620,0.38,86.8,170,3.2,3.4,500,9.5,9.7,0.38,3.1,101,England,2018-19,North West England,Moderate
1128,The Salvation Army,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1129,London School of Science and Technology Limited,790,645,1.14,76.3,10,1.5,3.7,135,17.2,20,1.14,6.8,107.9,England,2018-19,London,High
1130,SOAS University of London,405,345,1.33,91.2,25,6.7,2.5,35,8.4,6.3,1.33,1.1,86.9,England,2018-19,London,Moderate
1131,Sheffield Hallam University,6920,6240,0.32,87.5,140,2,3.4,540,7.8,9.1,0.32,2.8,102.1,England,2018-19,South Yorkshire,Moderate
1132,The University of Sheffield,3955,3710,0.36,92.9,100,2.5,2.4,145,3.6,4.7,0.36,3.4,78.6,England,2018-19,South Yorkshire,Low
1133,The Sherwood Psychotherapy Training Institute Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Nottinghamshire,Low
1134,Solent University,2285,2025,0.58,85.8,45,2,3.4,215,9.4,10.8,0.58,1.8,108,England,2018-19,South East England,Moderate
1135,The University of Southampton,3465,3295,0.38,93.2,70,2,2.3,100,2.9,4.4,0.38,2.8,84.9,England,2018-19,South East England,Low
1136,Spurgeon's College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1137,Staffordshire University,2995,2590,0.52,85.1,85,2.9,3.5,325,10.8,11.4,0.52,2,102.2,England,2018-19,West Midlands,High
1138,Study Group,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1139,University of St Mark and St John,890,745,1.01,86.3,20,2.5,2.9,125,13.8,10.8,1.01,1.2,104.8,England,2018-19,East Anglia,High
1140,University of Suffolk,3080,2275,0.59,78.7,120,3.9,4,685,22.2,17.3,0.59,9.6,95.9,England,2018-19,East Anglia,High
1141,The University of Sunderland,3825,3190,0.49,83.5,105,2.8,3.3,525,13.8,13.2,0.49,5.1,111.6,England,2018-19,Tyne and Wear,High
1142,The University of Surrey,3125,2875,0.44,91.3,90,2.9,2.8,160,5.1,6,0.44,2,95.7,England,2018-19,South East England,Moderate
1143,The University of Sussex,3245,3025,0.4,91.8,100,3.1,2.7,115,3.6,5.5,0.4,2.2,97.3,England,2018-19,South East England,Low
1144,Teesside University,3355,2840,0.52,85.6,80,2.4,3.4,435,12.9,11,0.52,2.5,97.5,England,2018-19,North East England,High
1145,Trinity Laban Conservatoire of Music and Dance,280,255,1.47,89.4,15,5,2.6,15,5.3,7.9,1.47,0.8,129,England,2018-19,London,Moderate
1146,University Centre Peterborough,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Peterborough,Low
1147,The University of Law,580,510,1.05,87.1,30,4.8,4.2,40,7.1,8.7,1.05,3.8,87.7,England,2018-19,London,Moderate
1148,University College London,2620,2450,0.45,94.7,70,2.7,1.9,100,3.7,3.5,0.45,4.2,65,England,2018-19,London,Low
1149,The University of Warwick,3545,3370,0.38,94.8,50,1.4,1.9,125,3.5,3.3,0.38,5.7,72.5,England,2018-19,West Midlands,Low
1150,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Surrey,Low
1151,"University of the West of England, Bristol",6110,5465,0.34,87.8,170,2.8,3.4,475,7.7,8.9,0.34,3,97.5,England,2018-19,South West England,Moderate
1152,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,West Sussex,Low
1153,The University of West London,2255,1895,0.62,83.7,80,3.6,3.3,280,12.4,13,0.62,1.8,101.4,England,2018-19,West London,High
1154,The University of Westminster,3480,2910,0.48,86.4,210,6,3.7,360,10.4,9.9,0.48,2.4,102,England,2018-19,London,High
1155,The University of Winchester,2185,1985,0.55,88.7,50,2.4,3.2,150,6.8,8,0.55,2.2,98.8,England,2018-19,Hampshire,Moderate
1156,The University of Wolverhampton,4480,3690,0.45,83.8,170,3.8,3.6,620,13.9,12.6,0.45,3.1,97.8,England,2018-19,West Midlands,High
1157,University of Worcester,2195,1935,0.59,88,55,2.6,2.8,205,9.4,9.3,0.59,2.2,100.9,England,2018-19,Worcestershire,Moderate
1158,Writtle University College,165,145,2.16,88.7,0,0.6,1.4,20,12,9.9,2.16,6.4,39.1,England,2018-19,Essex,High
1159,York St John University,2015,1810,0.6,87.8,35,1.8,3.3,170,8.5,8.9,0.6,1.7,101,England,2018-19,North Yorkshire,Moderate
1160,The University of York,3760,3540,0.37,93,85,2.3,2.4,130,3.5,4.5,0.37,3,88.3,England,2018-19,North Yorkshire,Low
1161,AA School of Architecture,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1162,ACM Guildford Limited,385,320,1.47,87.2,15,4.2,3.2,50,12.5,9.5,1.47,1.5,123.2,England,2019-20,Guildford,High
1163,Academy of Live and Recorded Arts,70,70,2.39,87.3,0,0,3.1,0,1.4,9.6,2.39,0.8,112.8,England,2019-20,London,Low
1164,AECC University College,120,110,2.11,92.2,5,3.4,2.2,5,5.9,5.7,2.11,0.4,96.9,England,2019-20,Birmingham,Moderate
1165,Amity Global Education,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1166,Anglia Ruskin University,6105,5175,0.35,85.8,175,2.9,3,755,12.4,11.1,0.35,11.5,101.7,England,2019-20,Cambridge,High
1167,Apex College London,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1168,Applied Business Academy Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Birmingham,Low
1169,Arden University,1730,1250,0.83,80,50,2.8,3.8,430,25,16.3,0.83,5.9,87.3,England,2019-20,Coventry,High
1170,Arts Educational Schools,75,75,2.36,89.6,0,0,2.9,0,2.6,7.6,2.36,0.4,128.4,England,2019-20,London,Low
1171,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Berkhamsted,Low
1172,Hult International Business School Ltd,15,10,0,0,0,0,0,5,0,0,0,0,0,England,2019-20,London,Low
1173,Aston University,3110,2910,0.39,91.9,85,2.8,2.8,115,3.7,5.3,0.39,2.6,101.8,England,2019-20,Birmingham,Low
1174,British Academy of Jewellery Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Birmingham,Low
1175,Bath Spa University,2730,2385,0.5,88.2,100,3.7,3.1,245,9,8.7,0.5,2.8,106.9,England,2019-20,Bath,Moderate
1176,The University of Bath,2835,2735,0.38,95.1,45,1.5,1.9,60,2.1,3,0.38,4.5,76.8,England,2019-20,Bath,Low
1177,University of Bedfordshire,3975,2850,0.53,82.7,240,6.1,3.2,880,22.2,14.1,0.53,6.6,91.9,England,2019-20,Luton,High
1178,BIMM Limited,1680,1440,0.69,87.3,40,2.3,3.2,205,12.1,9.5,0.69,5.5,119.7,England,2019-20,Bristol,High
1179,Birkbeck College,1145,880,0.87,84,85,7.5,3.6,180,15.6,12.4,0.87,4.3,76.2,England,2019-20,London,High
1180,Birmingham City University,6265,5635,0.32,89.1,170,2.7,3,460,7.4,7.9,0.32,3,104.2,England,2019-20,Birmingham,Moderate
1181,The University of Birmingham,5425,5220,0.27,95,100,1.9,2,100,1.8,3,0.27,4.2,79,England,2019-20,Birmingham,Low
1182,University College Birmingham,790,675,1.01,86.8,20,2.4,2.7,95,12.2,10.5,1.01,2.6,102.2,England,2019-20,Birmingham,High
1183,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Bristol,Low
1184,Bishop Grosseteste University,470,420,1.09,89.5,15,3.2,2.7,35,7,7.9,1.09,2.2,78.8,England,2019-20,Lincoln,Moderate
1185,Bloomsbury Institute,10,5,0,0,5,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1186,The University of Bolton,2130,1775,0.62,85,85,4.1,3.1,265,12.4,11.9,0.62,2,101.6,England,2019-20,Bolton,High
1187,The Arts University Bournemouth,945,875,0.78,90.1,15,1.4,2.8,55,5.9,7.1,0.78,2.3,127.1,England,2019-20,Bournemouth,Moderate
1188,Bournemouth University,3965,3615,0.39,90,85,2.1,2.9,265,6.7,7.1,0.39,2,104,England,2019-20,Bournemouth,Moderate
1189,BPP University,100,95,2.18,87.8,0,0,2.2,5,4.1,10,2.18,2.9,76.1,England,2019-20,Birmingham,Low
1190,The University of Bradford,2065,1870,0.5,89.9,105,5.1,2.9,90,4.4,7.2,0.5,1.6,104.5,England,2019-20,Bradford,Low
1191,The University of Brighton,3890,3445,0.41,89.9,140,3.6,2.9,305,7.9,7.2,0.41,2,97.7,England,2019-20,Brighton,Moderate
1192,The University College of Osteopathy,65,60,2.52,91.9,0,3.2,2.2,0,1.6,6,2.52,0.3,99.8,England,2019-20,London,Low
1193,The University of Bristol,4915,4735,0.28,95.8,100,2,1.8,80,1.7,2.4,0.28,4.9,72.2,England,2019-20,Bristol,Low
1194,Brit College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1195,Trinity College Bristol,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Bristol,Low
1196,Brunel University London,2975,2640,0.45,89.8,120,4.1,3.1,215,7.2,7.1,0.45,3.1,95.6,England,2019-20,Uxbridge,Moderate
1197,Buckinghamshire New University,6405,5320,0.35,81.2,190,3,3.3,890,13.9,15.6,0.35,17.9,91.8,England,2019-20,High Wycombe,High
1198,The University of Buckingham,300,270,1.33,90.7,10,2.7,2.3,20,6.7,6.9,1.33,1.2,79.5,England,2019-20,Buckingham,Moderate
1199,London College of Business Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1200,Cambridge Arts and Sciences Limited,15,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Cambridge,Low
1201,The University of Cambridge,2670,2640,0.35,97,10,0.4,1.4,20,0.7,1.6,0.35,9.7,54.3,England,2019-20,Cambridge,Low
1202,The Cambridge Theological Federation,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Cambridge,Low
1203,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1204,Canterbury Christ Church University,3205,2855,0.44,88.1,105,3.3,3.1,245,7.7,8.9,0.44,2.9,91.7,England,2019-20,Canterbury,Moderate
1205,CEG UFP Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1206,The University of Central Lancashire,4955,4185,0.4,87.9,140,2.8,3,630,12.7,9.1,0.4,3.1,93,England,2019-20,Preston,High
1207,Central Film School London,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1208,University of Chester,2440,2205,0.5,89.7,65,2.7,2.7,170,6.9,7.6,0.5,1.8,95.5,England,2019-20,Chester,Moderate
1209,The University of Chichester,1405,1265,0.68,88.7,30,2,3,115,8,8.3,0.68,1.5,114.5,England,2019-20,Chichester,Moderate
1210,Chicken Shed Theatre Company,25,25,5.2,84.7,0,0,2.8,5,11.1,12.4,5.2,0.7,122.7,England,2019-20,London,High
1211,The College of Integrated Chinese Medicine,50,50,3.38,89.9,0,0,1.5,5,5.9,8.6,3.38,0.8,90.2,England,2019-20,London,Moderate
1212,Christie's Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1213,Christ the Redeemer College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1214,The City College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
1215,"City, University of London",2580,2405,0.43,91.9,80,3.1,2.7,95,3.6,5.4,0.43,2.5,96,England,2019-20,London,Low
1216,Cliff College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,Hebden Bridge,Low
1217,The College of Health Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2019-20,London,Low
